#Platz; Name;Geboren;Land;Verband;Position;100. Spiel;Gegner;Spiele(FIFA);Spiele(RSSSF);Von;Bis
22;Javad Nekounam;1980;Iran;AFC;Mittelfeld;05.09.2009;Usbekistan;141;143;2000;2014
22;Thomas Ravelli;1959;Schweden;UEFA;Torwart;11.08.1993;Schweiz;143;143;1981;1997
25;Gianluigi Buffon;1978;Italien;UEFA;Torwart;14.11.2009;Niederlande;142;142;1997;2014
25;Cafu;1970;Brasilien;CONMEBOL;Abwehr;07.10.2001;Chile;142;142;1990;2006
25;Lilian Thuram;1972;Frankreich;UEFA;Abwehr;13.06.2004;England (EM-Gruppenspiel);142;142;1994;2008
25;Abdullah Zubromawi;1973;Saudi Arabien;AFC;Abwehr;17.08.2001;Bahrain;141;142;1993;2002
29;Essam El-Hadary;1973;Ägypten;CAF;Torwart;05.09.2009;Ruanda;139;141;1996;2014
30;Fawzi Doorbeen;1984;Oman;AFC;Mittelfeld;19.01.2009;Indonesien;134;140;2001;2013
31;Giorgos Karagounis;1977;Griechenland;UEFA;Mittelfeld;08.10.2010;Lettland;139;139;1999;2014
31;Madschid Mohammed Abdullah;1959;Saudi Arabien;AFC;Sturm;21.06.1988;Neuseeland;126;139;1978;1994
33;Amado Guevara;1976;Honduras;CONCACAF;Mittelfeld;08.09.2007;Costa Rica;137;138;1994;2010
34;Bader al-Mutawa;1985;Kuwait;AFC;Sturm;08.01.2011;China;137;137;2003;2013
34;Walter Centeno;1974;Costa Rica;CONCACAF;Mittelfeld;16.02.2007;El Salvador;135;137;1995;2009
34;Jari Litmanen;1971;Finnland;UEFA;Sturm;25.01.2006;Südkorea;137;137;1989;2010
34;Rigobert Song;1976;Kamerun;CAF;Abwehr;21.01.2006;Angola (Afrikacup Gruppenspiel);137;137;1993;2010
38;Fabio Cannavaro;1973;Italien;UEFA;Abwehr;09.07.2006;Frankreich (WM-Finale);136;136;1997;2010
38;Mohamed Husain;1980;Bahrain;AFC;Abwehr;23.12.2008;Saudi Arabien;136;136;1997;2014
38;Miroslav Klose;1978;Deutschland;UEFA;Sturm;03.07.2010;Argentinien;136;136;2001;2014
38;Hong Myung-bo;1969;Südkorea;AFC;Abwehr;12.06.1999;Mexiko;136;136;1990;2002
42;Jeff Agoos;1968;USA;CONCACAF;Abwehr;03.06.2000;Südafrika;134;134;1988;2003
42;Dorinel Munteanu;1968;Rumänien;UEFA;Mittelfeld;15.08.2001;Slowenien;134;134;1991;2007
42;Andres Oper;1977;Estland;UEFA;Mittelfeld;02.09.2006;Israel;133;134;1995;2013
45;Bashar Abdullah;1977;Kuwait;AFC;Sturm;31.03.2004;Malaysia;133;133;1996;2007
45;Lee Woon-jae;1973;Südkorea;AFC;Torwart;18.06.2006;Frankreich (WM Gruppenspiel);131;133;1994;2010
45;Xavi;1980;Spanien;UEFA;Mittelfeld;25.03.2011;Tschechien;133;133;2000;2014
48;Sarkis Howsepjan;1972;Armenien;UEFA;Abwehr;11.10.2008;Belgien;130;131;1992;2012
49;Jorge Campos;1966;Mexiko;CONCACAF;Torwart;09.06.1999;Argentinien;129;130;1991;2003
49;Kiatisak Senamuang;1973;Thailand;AFC;Sturm;01.09.2001;Iran;127;130;1993;2007
49;Edwin van der Sar;1970;Niederlande;UEFA;Torwart;08.06.2005;Finnland;130;130;1995;2008
52;Daniel Bennett;1978;Singapur;AFC;Abwehr;07.06.2011;Malediven;128;129;2002;2013
52;Waleed Jumah;1980;Kuwait;AFC;Mittelfeld;06.07.2011;Oman;129;129;2002;2014
54;Marcelo Balboa;1967;USA;CONCACAF;Abwehr;25.06.1995;Kolumbien;127;128;1988;2000
54;Luis Marín;1974;Costa Rica;CONCACAF;Abwehr;14.07.2004;Chile;126;128;1993;2009
54;Roberto Palacios;1972;Peru;CONMEBOL;Mittelfeld;19.11.2003;Ecuador;128;128;1992;2012
54;Anatolij Tymoschtschuk;1979;Ukraine;UEFA;Mittelfeld;11.10.2010;Brasilien;127;128;2000;2013
58;Luís Figo;1972;Portugal;UEFA;Mittelfeld;18.02.2004;England;127;127;1991;2006
58;Ali Karimi;1978;Iran;AFC;Mittelfeld;11.07.2007;Usbekistan (Asien Cup);127;127;1998;2012
58;Robbie Keane;1980;Irland;UEFA;Sturm;11.08.2010;Argentinien;122;127;1998;2013
58;Lee Young-pyo;1977;Südkorea;AFC;Abwehr;19.11.2008;Saudi Arabien;127;127;1999;2011
62;Paolo Maldini;1968;Italien;UEFA;Abwehr;28.04.1999;Kroatien;126;126;1988;2002
62;Dennis Rommedahl;1978;Dänemark;UEFA;Sturm;11.08.2010;Deutschland;125;126;2000;2013
62;Hussain Said;1958;Irak;AFC;Sturm;01.02.1986;Dänemark;-1;126;1977;1990
62;Andoni Zubizarreta;1961;Spanien;UEFA;Torwart;26.04.1995;Armenien;126;126;1985;1998
66;Roberto Carlos da Silva;1973;Brasilien;CONMEBOL;Abwehr;31.03.2004;Paraguay;125;125;1992;2006
66;Shay Given;1976;Irland;UEFA;Torwart;14.10.2009;Montenegro;124;125;1996;2012
66;Ibrahim Hassan;1966;Ägypten;CAF;Abwehr;15.06.1999;Südkorea;125;125;1989;2002
66;Hany Ramzy;1969;Ägypten;CAF;Abwehr;07.02.2000;Tunesien (Afrikacup);125;125;1988;2003
66;Peter Shilton;1949;England;UEFA;Torwart;15.06.1988;Niederlande (EM Gruppenspiel);125;125;1970;1990
71;Gheorghe Hagi;1965;Rumänien;UEFA;Mittelfeld;18.06.1996;Spanien (EM Gruppenspiel);124;124;1983;2000
71;Saud Kariri;1980;Saudi Arabien;AFC;Mittelfeld;10.10.2010;Bulgarien;123;124;2001;2014
71;Rafael Márquez;1979;Mexiko;CONCACAF;Abwehr;29.03.2011;Venezuela;124;124;1997;2014
71;Carlos Salcido;1980;Mexiko;CONCACAF;Abwehr;31.05.2012;Bosnien und Herzegowina;122;124;2004;2014
71;Noel Valladares;1977;Honduras;CONCACAF;Torwart;11.02.2012;Costa Rica;123;124;2000;2014
76;Thierry Henry;1977;Frankreich;UEFA;Sturm;03.06.2008;Kolumbien;123;123;1997;2010
76;Yoo Sang-chul;1971;Südkorea;AFC;Mittelfeld;18.06.2002;Italien(WM-Achtelfinale);120;123;1994;2005
78;David Carabott;1968;Malta;UEFA;Abwehr;25.04.2001;Island;119;122;1987;2005
78;Masami Ihara;1967;Japan;AFC;Abwehr;28.06.1997;Oman;122;122;1988;1999
80;Mohamed Abdeljawid;1962;Saudi Arabien;AFC;Abwehr;03.05.1993;Malaysia;121;121;1981;1994
80;Cha Bum-kun;1953;Südkorea;AFC;Sturm;09.10.1977;Kuwait;119;121;1972;1986
80;Aide Iskandar;1975;Singapur;AFC;Abwehr;26.01.2006;Dänemark;121;121;1995;2007
80;Odelin Molina Hernández;1974;Kuba;CONCACAF;Torwart;30.11.2010;Grenada;110;121;1996;2013
80;Ramón Ramírez;1969;Mexiko;CONCACAF;Mittelfeld;17.07.1999;Chile (Copa America - Spiel um Pl. 3);119;121;1991;2000
80;Peter Schmeichel;1963;Dänemark;UEFA;Torwart;10.02.1999;Kroatien;121;121;1988;2001
80;Didier Zokora;1982;Elfenbeinküste;CAF;Mittelfeld;26.01.2012;Burkina Faso;121;121;2000;2014
87;Subait Aljunaibi;1980;Vereinigte Arab. Emirate;AFC;unbekannt;03.03.2010;Usbekistan;120;120;1999;2011
87;DaMarcus Beasley;1982;USA;CONCACAF;Mittelfeld;29.05.2013;Belgien;120;120;2001;2014
87;Ian Goodison;1972;Jamaika;CONCACAF;Abwehr;12.06.2004;Haiti;118;120;1996;2009
87;Yunis Mahmud;1983;Irak;AFC;Sturm;unbekannt;unbekannt;113;120;2002;2013
87;Mart Poom;1972;Estland;UEFA;Torwart;08.09.2004;Portugal;120;120;1992;2009
87;Sergio Ramos;1986;Spanien;UEFA;Abwehr;22.03.2013;Finnland;119;120;2005;2014
87;Rüştü Reçber;1973;Türkei;UEFA;Torwart;26.03.2005;Albanien;120;120;1994;2012
87;Theodoros Zagorakis;1971;Griechenland;UEFA;Mittelfeld;17.11.2004;Kasachstan;119;120;1994;2007
95;Gilbert Agius;1974;Malta;UEFA;Sturm;02.06.2007;Norwegen;119;119;1993;2009
95;Cuauhtémoc Blanco;1973;Mexiko;CONCACAF;Sturm;10.06.2009;Trinidad und Tobago;118;119;1995;2010
95;Pat Jennings;1945;Nordirland;UEFA;Torwart;21.09.1983;Österreich;119;119;1964;1986
98;Samuel Eto’o;1981;Kamerun;CAF;Sturm;04.09.2010;Mauritius;118;118;1996;2014
98;Heinz Hermann;1958;Schweiz;UEFA;Mittelfeld;03.04.1990;Rumänien;118;117;1978;1991
98;Shahril Ishak;1984;Singapur;AFC;Mittelfeld;11.09.2012;Myanmar;117;118;2003;2014
98;Geremi Njitap;1978;Kamerun;CAF;Mittelfeld;11.02.2009;Guinea;118;118;1996;2010
98;Karel Poborský;1972;Tschechien;UEFA;Mittelfeld;18.08.2004;Griechenland;118;118;1994;2006
103;Juan Arango;1980;Venezuela;CONMEBOL;Mittelfeld;23.07.2011;Peru;112;117;1999;2013
103;Mohammad asch-Schalhub;1980;Saudi Arabien;AFC;Mittelfeld;01.04.2009;Vereinigte Arab. Emirate;117;117;2000;2012
103;Angus Eve;1973;Trinidad und Tobago;CONCACAF;Sturm;12.12.2004;Britische Jungferninseln;113;117;1994;2005
103;Olof Mellberg;1977;Schweden;UEFA;Abwehr;03.03.2010;Wales;117;117;2000;2012
103;Andrejs Rubins;1978;Lettland;UEFA;Mittelfeld;01.04.2009;Luxemburg;115;117;1999;2011
108;Marcel Desailly;1968;Frankreich;UEFA;Mittelfeld;12.02.2002;Slowenien;116;116;1993;2004
108;Ahmed Jamil Madani;1970;Saudi Arabien;AFC;Abwehr;24.10.1996;Kuwait;116;116;1986;1998
108;Yoshikatsu Kawaguchi;1975;Japan;AFC;Torwart;05.06.2007;Kolumbien;116;116;1997;2008
108;Roland Nilsson;1963;Schweden;UEFA;Abwehr;10.02.1999;Tunesien;116;116;1986;2000
108;Lukas Podolski;1985;Deutschland;UEFA;Mittelfeld/Angriff;17.06.2012;Dänemark;116;116;2004;2014
108;Abdul Rahem Jumaa Anber Al-Jubaibi;1979;Vereinigte Arab. Emirate;AFC;Mittelfeld;16.07.2007;Katar;115;116;1998;2009
108;Darijo Srna;1982;Kroatien;UEFA;Abwehr/Mittelfeld;06.02.2013;Südkorea;115;116;2002;2014
115;Roberto Ayala;1973;Argentinien;CONMEBOL;Abwehr;30.05.2006;Angola;115;115;1994;2007
115;David Beckham;1975;England;UEFA;Mittelfeld;26.03.2008;Frankreich;115;115;1996;2009
115;Stern John;1976;Trinidad und Tobago;CONCACAF;Sturm;11.10.2006;Panama;108;115;1995;2011
115;José Manuel Rey;1975;Venezuela;CONMEBOL;Abwehr;09.09.2008;Paraguay;109;115;1997;2011
115;Noureddine Naybet;1970;Marokko;CAF;Abwehr;04.02.2004;Südafrika (Afrikacup);115;115;1990;2006
115;Gheorghe Popescu;1967;Rumänien;UEFA;Abwehr;17.06.2000;Portugal (EM-Gruppenspiel);115;115;1988;2003
115;Shunmugham Subramani;1972;Singapur;AFC;Abwehr;06.02.2006;Oman;115;115;1996;2007
115;Kristen Viikmäe;1979;Estland;UEFA;Sturm;30.05.2006;Neuseeland;113;115;1997;2013
123;Khaled al-Muwallid;1971;Saudi Arabien;AFC;Mittelfeld;06.11.1997;China;114;114;1988;1998
123;Steven Gerrard;1980;England;UEFA;Mittelfeld;14.11.2012;Schweden;114;114;2000;2014
123;Konstantinos Katsouranis;1979;Griechenland;UEFA;Mittelfeld;16.10.2012;Slowakei;114;114;2003;2014
123;Björn Nordqvist;1942;Schweden;UEFA;Abwehr;15.06.1977;Dänemark;114;114;1963;1978
123;Stipe Pletikosa;1979;Kroatien;UEFA;Torwart;06.02.2013;Südkorea;114;114;1999;2014
123;Cristiano Ronaldo;1985;Portugal;UEFA;Angriff;16.10.2012;Nordirland;114;114;2003;2014
129;Nasch'at Akram;1984;Irak;AFC;Mittelfeld;unbekannt;unbekannt;109;113;2001;2013
129;Abdulla Al Marzooqi;1980;Bahrain;AFC;Abwehr;04.11.2011;Kuwait;113;113;2001;2013
129;Xabi Alonso;1981;Spanien;UEFA;Mittelfeld;23.06.2012;Frankreich;113;113;2003;2014
129;Yassir al-Qahtani;1982;Saudi Arabien;AFC;unbekannt;unbekannt;unbekannt;113;112;2002;2013
129;Carmel Busuttil;1964;Malta;UEFA;Mittelfeld;10.02.2000;Albanien;110;113;1982;2001
129;Rolando Fonseca;1974;Costa Rica;CONCACAF;Sturm;16.02.2007;El Salvador;111;113;1992;2011
129;Wael Gomaa;1975;Ägypten;CAF;Abwehr;26.03.2011;Südafrika;103;113;2001;2013
129;Yenier Márquez;1979;Kuba;CONCACAF;Abwehr;05.12.2010;Grenada;100;113;2000;2013
129;Wiktor Saweljewitsch Onopko;1969;Russland;UEFA;Abwehr;14.06.2002;Belgien (WM-Gruppenspiel);113;113;1992;2004
129;Theodore Whitmore;1972;Jamaika;CONCACAF;Mittelfeld;13.07.2003;Kolumbien;110;113;1993;2004
139;Ahmed Abou El-Kass;1965;Ägypten;CAF;Angriff;22.11.1995;Simbabwe;107;112;1987;1997
139;Zuhair Bakheet;1967;Vereinigte Arab. Emirate;AFC;Sturm;18.10.1997;Kasachstan;112;112;1988;2002
139;Jon Dahl Tomasson;1976;Dänemark;UEFA;Sturm;20.08.2008;Spanien;112;112;1997;2010
139;Frank de Boer;1970;Niederlande;UEFA;Abwehr;29.03.2003;Tschechien;112;112;1990;2004
139;Diego Forlán;1979;Uruguay;CONMEBOL;Sturm;20.06.2013;Nigeria;111;112;2002;2014
139;Alain Geiger;1960;Schweiz;UEFA;Abwehr;12.10.1994;Schweden;112;112;1980;1996
139;Philipp Lahm;1983;Deutschland;UEFA;Abwehr;06.09.2013;Österreich;112;112;2004;2014
139;Hawar Mulla Mohammed;1981;Irak;AFC;Mittelfeld;unbekannt;unbekannt;108;112;2001;2012
139;Andrea Pirlo;1979;Italien;UEFA;Mittelfeld;16.06.2013;Mexiko;112;112;2002;2014
139;Claudio Reyna;1973;USA;CONCACAF;Mittelfeld;02.06.2004;Honduras;111;112;1994;2006
139;Hakan Şükür;1971;Türkei;UEFA;Sturm;07.09.2005;Ukraine;112;112;1992;2007
139;Li Weifeng;1978;China;AFC;Abwehr;15.03.2008;Thailand;112;112;1998;2011
139;Abdel Zaher El-Saqua;1974;Ägypten;CAF;Abwehr;24.01.2006;Marokko (Afrikacup);112;112;1997;2010
139;Dino Zoff;1942;Italien;UEFA;Torwart;14.06.1982;Polen (WM-Gruppenspiel);112;112;1968;1983
153;Jarah Al Ataiqi;1981;Kuwait;AFC;unbekannt;06.09.2011;Südkorea;111;111;2001;2013
153;Amad Ali Suleiman Al Hosni;1977;Oman;AFC;Angriff;15.08.2012;Ägypten;111;111;2003;2014
153;Paulo da Silva;1980;Paraguay;CONMEBOL;Abwehr;29.02.2012;Panama;110;111;2000;2013
153;Edison Méndez;1979;Ecuador;CONMEBOL;Mittelfeld;02.09.2011;Jamaika;111;111;2000;2014
153;Raio Piiroja;1979;Estland;UEFA;Abwehr;25.03.2011;Uruguay;110;111;1998;2013
153;Abdul Salam Al-Jubaibi Jumaa;1977;Vereinigte Arab. Emirate;AFC;Abwehr;17.11.2004;Nordkorea;111;111;1997;2010
153;Andrij Schewtschenko;1976;Ukraine;UEFA;Sturm;08.10.2010;Kanada;111;111;1995;2012
153;Carlos Valderrama;1961;Kolumbien;CONMEBOL;Mittelfeld;06.08.1997;Jamaika;111;111;1985;1998
161;John Arne Riise;1980;Norwegen;UEFA;Abwehr/Mittelfeld;12.11.2011;Wales;110;110;2000;2013
161;Carlos Bocanegra;1979;USA;CONCACAF;Abwehr;15.11.2011;Slowenien;108;110;2001;2012
161;Paul Caligiuri;1964;USA;CONCACAF;Mittelfeld;16.08.1995;Schweden;110;110;1984;1997
161;Fernando Couto;1969;Portugal;UEFA;Abwehr;11.10.2003;Albanien;110;110;1990;2004
161;Nader El-Sayed;1972;Ägypten;CAF;Torwart;08.01.2004;Ruanda;106;110;1992;2005
161;Carlos Gamarra;1971;Paraguay;CONMEBOL;Abwehr;05.06.2005;Brasilien;110;110;1993;2006
161;Kevin Kilbane;1977;Irland;UEFA;Mittelfeld;14.10.2009;Montenegro;110;110;1997;2011
161;Mehdi Mahdavikia;1977;Iran;AFC;Mittelfeld;15.07.2007;China (Asien Cup);110;110;1996;2009
161;Ismail Matar;1983;Vereinigte Arab. Emirate;AFC;Sturm;25.02.2012;Palästina;110;110;2003;2013
161;Yūji Nakazawa;1978;Japan;AFC;Abwehr;14.02.2010;Südkorea;110;110;1999;2010
161;Indra Sahdan Bin Daud;1979;Singapur;AFC;Sturm;07.12.2008;Myanmar;108;110;1997;2013
161;Mauricio Solís;1972;Costa Rica;CONCACAF;Mittelfeld;08.06.2005;Guatemala;109;110;1993;2006
161;Fernando Torres;1984;Spanien;UEFA;Angriff;07.09.2012;Saudi Arabien;110;110;2003;2014
174;Álex Aguinaga;1969;Ecuador;CONMEBOL;Mittelfeld;20.11.2002;Costa Rica;107;109;1987;2004
174;Niclas Alexandersson;1971;Schweden;UEFA;Mittelfeld;06.06.2007;Island;109;109;1993;2008
174;Wail Al-Habashi;1964;Kuwait;AFC;Mittelfeld;unbekannt;unbekannt;-1;109;1986;1997
174;Nohayer Al-Shammari;1976;Kuwait;AFC;Abwehr;02.01.2008;Libanon;108;109;1996;2009
174;Mario Frick;1974;Liechtenstein;UEFA;Sturm;10.08.2011;Schweiz;107;109;1993;2013
174;Alberto García Aspe;1967;Mexiko;CONCACAF;Sturm;07.10.2001;Costa Rica;108;109;1988;2002
180;Clint Dempsey;1983;USA;CONCACAF;Angriff;06.09.2013;Costa Rica;108;108;2001;2014
180;Maynor Figueroa;1983;Honduras;CONCACAF;Mittelfeld;16.11.2013;Brasilien;107;108;2003;2014
180;Andrés Guardado;1986;Mexiko;CONCACAF;Abwehr;05.03.2014;Nigeria;106;108;2005;2014
180;Thomas Helveg;1971;Dänemark;UEFA;Abwehr;31.05.2006;Frankreich;108;108;1994;2007
180;Jürgen Klinsmann;1964;Deutschland;UEFA;Sturm;10.09.1997;Armenien;108;108;1987;1998
180;Juris Laizāns;1979;Lettland;UEFA;Mittelfeld;14.10.2009;Moldawien;108;108;1998;2010
180;Bobby Moore;1941;England;UEFA;Abwehr;14.02.1973;Schottland;107;108;1962;1973
180;Jamal Mubarak;1974;Kuwait;AFC;Abwehr;19.11.2003;Portugal;107;108;1994;2004
180;Masaed Nada Al-Enezi;1983;Kuwait;CAF;Abwehr;08.06.2012;Bahrain;108;108;2002;2014
180;Mark Schwarzer;1972;Australien;OFC/AFC;Torwart;06.09.2012;Libanon;105;108;1993;2013
180;Hussein Suleimani;1977;Saudi Arabien;AFC;Abwehr;11.10.2006;Jemen;108;108;1996;2009
180;Kolo Touré;1981;Elfenbeinküste;CAF;Abwehr;14.11.2012;Österreich;108;108;2000;2014
180;Zinédine Zidane;1972;Frankreich;UEFA;Mittelfeld;27.05.2006;Mexiko;108;108;1994;2006
193;Miroslav Karhan;1976;Slowakei;UEFA;Abwehr;12.10.2010;Irland;107;107;1995;2011
193;Aaron Mokoena;1980;Südafrika;CAF;Abwehr;31.05.2010;Guatemala;107;107;1999;2010
193;Joseph Musonda;1977;Sambia;CAF;Abwehr;25.01.2013;Nigeria;105;107;2002;2014
193;Bastian Schweinsteiger;1984;Deutschland;UEFA;Mittelfeld;15.10.2013;Schweden;107;107;2004;2014
193;Patrick Vieira;1976;Frankreich;UEFA;Mittelfeld;15.11.2006;Griechenland;107;107;1997;2009
198;Imants Bleidelis;1975;Lettland;UEFA;Mittelfeld;02.06.2007;Spanien;105;106;1995;2007
198;Bobby Charlton;1937;England;UEFA;Mittelfeld;21.04.1970;Nordirland;105;106;1958;1970
198;Nawaf El-Khaldi;1981;Kuwait;AFC;Tor;13.03.2013;Palästina;106;106;2000;2014
198;Mushin Faraj;1964;Vereinigte Arab. Emirate;AFC;Sturm;12.11.1998;Kuwait;106;106;1988;1999
198;Hao Haidong;1970;China;AFC;Sturm;27.01.2004;Mazedonien;106;106;1992;2004
198;Andreas Isaksson;1981;Schweden;UEFA;Torwart;12.10.2012;Färöer;104;106;2002;2013
198;Timur Kapadze;1981;Usbekistan;AFC;Mittelfeld;12.10.2012;Katar;102;106;2002;2013
198;Baihakki Khaizan;1984;Singapur;AFC;Abwehr;07.06.2013;Laos;105;106;2003;2014
198;Frank Lampard;1978;England;UEFA;Mittelfeld;10.09.2013;Ukraine;106;106;1999;2014
198;Henrik Larsson;1971;Schweden;UEFA;Sturm;06.09.2008;Albanien;106;106;1993;2009
198;Yiannakis Okkas;1977;Zypern;UEFA;Sturm;08.02.2010;Schweden;103;106;1997;2012
198;Stilian Petrow;1979;Bulgarien;UEFA;Mittelfeld;26.03.2011;Schweiz;106;106;1998;2011
198;Guillermo Ramírez Ortega;1978;Guatemala;CONCACAF;Mittelfeld;21.01.2011;Nicaragua;103;106;1997;2012
198;Diego Simeone;1970;Argentinien;CONMEBOL;Mittelfeld;28.03.2001;Venezuela;106;106;1988;2002
198;Martin Stocklasa;1979;Liechtenstein;UEFA;Abwehr;07.09.2012;Bosnien und Herzegowina;105;106;1996;2013
198;Giovanni van Bronckhorst;1975;Niederlande;UEFA;Abwehr;10.06.2010;Dänemark (WM-Gruppenspiel);106;106;1996;2010
198;Eric Wynalda;1969;USA;CONCACAF;Sturm;15.06.1998;Deutschland (WM Gruppenspiel);106;106;1990;2000
198;Fan Zhiyi;1969;China;AFC;Abwehr;25.08.2001;Vereinigte Arab. Emirate;106;106;1992;2002
216;Khamis Al-Dosari;1973;Saudi Arabien;AFC;Mittelfeld;08.09.2004;Turkmenistan;105;105;1997;2014
216;Héctor Chumpitaz;1944;Peru;CONMEBOL;Abwehr;19.04.1981;Chile;104;105;1965;1981
216;Sami Hyypiä;1973;Finnland;UEFA;Abwehr;12.08.2009;Schweden;105;105;1992;2010
216;Radhi Jaïdi;1975;Tunesien;CAF;Abwehr;28.05.2009;Sudan;105;105;1996;2009
216;Jonatan Johansson;1975;Finnland;UEFA;Sturm;14.10.2009;Deutschland;105;105;1996;2010
216;Jürgen Kohler;1965;Deutschland;UEFA;Abwehr;30.05.1998;Kolumbien;105;105;1986;1998
216;Lúcio;1978;Brasilien;CONMEBOL;Abwehr;03.07.2011;Venezuela (Copa América Gruppenspiel);101;105;2000;2011
216;Wesley Sneijder;1984;Niederlande;UEFA;Mittelfeld;13.06.2014;Spanien;105;105;2003;2014
216;Rafael van der Vaart;1983;Niederlande;UEFA;Mittelfeld;15.08.2012;Belgien;105;105;2001;2013
216;Billy Wright;1924;England;UEFA;Abwehr;11.04.1959;Schottland;104;105;1946;1959
216;Mihails Zemļinskis;1969;Lettland;UEFA;Abwehr;13.10.2004;Estland;103;105;1992;2005
227;Gustavo Adolfo Cabrera;1979;Guatemala;CONCACAF;Abwehr;12.11.2011;Grenada;104;104;2000;2012
227;Didier Drogba;1978;Elfenbeinküste;CAF;Angriff;30.05.2014;Bosnien und Herzegowina;104;104;2000;2014
227;Rúnar Kristinsson;1969;Island;UEFA;Mittelfeld;11.10.2003;Deutschland;100;104;1987;2004
227;Michael Laudrup;1964;Dänemark;UEFA;Mittelfeld;18.06.1998;Südafrika (WM Gruppenspiel);103;104;1982;1998
227;Javier Mascherano;1984;Argentinien;CONMEBOL;Abwehr;21.06.2014;Iran;104;104;2003;2014
227;Carlos Ruiz;1979;Guatemala;CONCACAF;Angriff;15.08.2012;Paraguay;101;104;1997;2012
227;Thorbjørn Svenssen;1924;Norwegen;UEFA;Abwehr;16.05.1962;Niederlande;101;104;1947;1962
227;Kim Tae-young;1970;Südkorea;AFC;Abwehr;18.02.2004;Libanon;104;104;1992;2004
235;Franz Beckenbauer;1945;Deutschland;UEFA;Abwehr;20.06.1976;CSSR (EM-Finale);103;103;1965;1977
235;Joe Brincat;1970;Malta;UEFA;Mittelfeld;16.10.2002;Frankreich;101;103;1987;2004
235;David Chabala;1960;Sambia;CAF;Torwart;unbekannt;unbekannt;-1;103;1983;1993
235;Stéphane Chapuisat;1969;Schweiz;UEFA;Sturm;02.06.2004;Deutschland;103;103;1989;2004
235;Ashley Cole;1980;England;UEFA;Abwehr;06.02.2013;Brasilien;101;103;2001;2013
235;Didier Deschamps;1968;Frankreich;UEFA;Mittelfeld;26.06.2000;Portugal (EM-Halbfinale);103;103;1989;2000
235;Andreas Herzog;1968;Österreich;UEFA;Mittelfeld;20.11.2002;Norwegen;103;103;1988;2003
235;Tim Howard;1971;USA;CONCACAF;Tor;07.06.2014;Nigeria;103;103;2002;2014
235;Kim Källström;1982;Schweden;UEFA;Mittelfeld;22.03.2013;Irland;100;103;2001;2013
235;Per Mertesacker;1984;Deutschland;UEFA;Abwehr;21.06.2014;Ghana;103;103;2004;2014
235;Emad Mohammed;1982;Irak;AFC;Sturm;28.05.2012;Botswana;100;103;2001;2013
235;Mesaed Nada Al-Enezi;1983;Kuwait;CAF;Abwehr;unbekannt;unbekannt;103;103;2002;2013
